time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Education setting with URN,118
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,One on one tuition,4
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Education setting with URN,91
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Total,395
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,355,Total,258
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,Plymouth,879,Total,59
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Total,93
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Total,495
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Total,148
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Total,165
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Total,280
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Total,413
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Total,325
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000024,Merton,315,Total,370
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,816,Total,29
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Total,206
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000001,City of London,201,Total,2
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Total,346
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Total,171
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Total,63
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000034,Worcestershire,885,Total,467
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Total,82
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,Walsall,335,Total,206
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Total,134
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Total,304
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,876,Total,60
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Total,133
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000013,Gloucestershire,916,Total,408
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000027,Richmond upon Thames,318,Total,185
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Total,166
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Total,176
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Total,143
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,Total,390
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Total,412
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Total,137
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000005,Brent,304,Total,356
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Total,42
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Total,510
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Total,161
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Total,611
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000033,Westminster,213,Total,92
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,877,Total,95
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Total,131
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,831,Total,229
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Total,210
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,353,Total,87
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Total,202
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Total,960
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Total,344
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Total,175
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Total,755
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Total,55
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Total,284
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Total,146
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Total,328
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Total,987
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,Total,233
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,Kensington and Chelsea,207,Total,70
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000034,Thurrock,883,Total,91
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Total,187
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,St. Helens,342,Total,134
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Total,225
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,73
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,356,Total,228
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Total,1247
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000027,Torbay,880,Total,74
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Total,30
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Total,183
