time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional
201617,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,1,84,12884,3796,1206,2590,29.4629,9.36045,20.10245,69,82.14286,11,13.0952,851,62,0,0,0,10,z,148,135,1206,14,525,2050,1,2590,3796,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,1,81,12099,2835,1210,1625,23.43169,10.00083,13.43086,47,58.02469,11,13.5802,762,173,0,0,0,20,z,86,169,1210,23,0,1576,26,1625,2835,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,2,100,9910,3985,2686,1299,40.21191,27.10394,13.10797,86,86,42,42,989,137,0,0,0,0,z,150,1410,2686,12,60,1200,27,1299,3985,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,1,321,62768,20504,6216,14288,32.66633,9.90314,22.76319,259,80.68536,73,22.7414,2222,285,48,0,0,0,z,79,3582,6216,540,0,13413,335,14288,20504,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,5,443,71398,18628,10081,8547,26.09037,14.11944,11.97092,274,61.85102,77,17.3815,3230,440,145,0,0,92,z,590,5584,10081,112,222,8177,36,8547,18628,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,5,1032,63689,20222,12367,7855,31.75117,19.4178,12.33337,809,78.39147,484,46.8992,2309,338,11,0,0,12,z,765,8932,12367,133,845,6875,2,7855,20222,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,7,1119,190872,58483,33168,25315,30.63991,17.37709,13.26281,763,68.18588,257,22.9669,7831,980,207,31,0,111,z,2777,21231,33168,266,608,24006,435,25315,58483,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,2,105,14963,3202,1905,1297,21.39945,12.7314,8.66805,61,58.09524,9,8.57143,798,75,2,0,0,66,z,45,919,1905,36,94,1113,54,1297,3202,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,2,67,13829,3326,1872,1454,24.05091,13.53677,10.51414,55,82.08955,6,8.95522,438,146,0,0,0,12,z,458,818,1872,4,114,1329,7,1454,3326,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,2,484,92650,22415,12448,9967,24.1932,13.43551,10.75769,306,63.22314,62,12.8099,3702,716,36,0,92,10,z,2450,5442,12448,48,36,9883,0,9967,22415,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,1,202,40722,9026,4938,4088,22.16492,12.12612,10.0388,115,56.93069,29,14.3564,1567,198,23,3,209,16,z,277,2645,4938,44,36,4008,0,4088,9026,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,1,232,23023,6264,3591,2673,27.20758,15.59745,11.61013,146,62.93103,40,17.2414,1085,123,0,107,0,26,z,434,1816,3591,90,1,2568,14,2673,6264,0,0
201617,Autumn and spring term,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,1,166,24716,11677,10982,695,47.2447,44.43276,2.81194,140,84.33735,84,50.6024,1776,189,0,0,8,2,z,237,8770,10982,16,1,675,3,695,11677,0,0
